,name,area,address,latitude,longitude,naver_store_type
244,129 라멘하우스,신당동,서울특별시 중구 신당동 374-27,37.5554,127.011,일본식라면
245,12st,가산동,서울특별시 금천구 가산동 140-38,37.47793,126.889675,테이크아웃커피
246,12달이야기,청룡동,부산광역시 금정구 청룡동 58-1,35.275027,129.090692,
247,12번가,구로디지털단지역,서울특별시 관악구 조원동 1654-3,37.483326,126.903183,테이크아웃커피
248,12번지,홍대,서울특별시 마포구 서교동 402-12 2층,37.548828,126.919984,
249,12번지포차,부개역,경기도 부천시 상동 614-4,37.490078,126.742557,
250,12번째키친,광주,광주광역시 동구 불로동 120-1,35.145911,126.916208,
251,12보쌈,신평동,부산광역시 사하구 신평동 45-11,35.091297,128.979516,"족발,보쌈"
252,12시30분,목포,전라남도 목포시 상동 508-9,34.809157,126.415781,
253,12안젤로,원주,강원도 원주시 단계동 1115-3,37.347786,127.926871,카페
254,12온스,성수역,서울특별시 성동구 성수2가3동 289-273,37.546024,127.054212,
255,12월32일,심곡동,경기도 부천시 심곡동 167-2,37.486764,126.784198,
256,12인치,신둔면,경기도 이천시 신둔면 고척리 553-2,37.293446,127.382663,"카페,디저트"
257,12호횟집,대부도,경기도 안산시 단원구 선감동 680-4,37.210026,126.65048,생선회
258,13,김해,경상남도 김해시 관동동 1111-13,35.176012,128.815755,
259,1308,전주,전라북도 전주시 완산구 효자동2가 1308-12,35.810287,127.094832,
260,130애비뉴,계산동,인천광역시 계양구 계산동 990-3,37.537153,126.726631,양식
261,1318김밥짱,중동,경기도 부천시 중동 733-16,37.49426,126.762938,종합분식
262,132에비뉴,고령,대구광역시 달서구 호산동 707-3,35.8441,128.487,"카페,디저트"
263,1357 철판삼겹,사당역,서울시 서초구 방배동 451-4,37.478797,126.983396,돼지고기구이
264,135튀김집,사직동,부산광역시 동래구 사직동 46-17,35.1979,129.06,
265,135튀김집,불당동,충청남도 천안시 서북구 불당동 1544,36.814251,127.105821,"일식튀김,꼬치"
266,135튀김집,세종시,세종특별자치시 새롬동 341-74,36.484474,127.252608,135튀김집
267,135튀김집,남포동,부산광역시 중구 광복동1가 30-3,35.0989,129.035,한식
268,135튀김집,보람동,세종특별자치시 보람동 615-2,36.483276,127.293255,
269,135튀김집,의정부동,경기도 의정부시 의정부동 168-54,37.738031,127.046542,"일식튀김,꼬치"
270,136길 육미,논현동,서울특별시 강남구 논현동 107-34,37.517393,127.036351,한식
271,13스시,충주,충청북도 충주시 대소원면 완오리 1121,36.99896,127.840555,"초밥,롤"
272,13애비뉴,성남,경기도 성남시 수정구 심곡동 327-2,37.449274,127.103793,이탈리아음식
273,13월의식당,두산동,대구광역시 수성구 두산동 88-4,35.83781,128.621674,
274,13창고,연곡면,강원도 강릉시 연곡면 영진리 353-17,37.869348,128.83858600000002,
275,01월 14일,신흥3동,경기도 성남시 수정구 신흥3동,37.443488,127.148813,
276,145,포항,경상북도 포항시 북구 환호동 145,36.072914,129.404984,브런치
277,149플라밍고,광교,경기도 수원시 영통구 하동 960,37.293931,127.071104,양식
278,14번가비어,북신동,경상남도 통영시 북신동 693,34.858017,128.424678,
279,14번길레스토랑,유성,대전광역시 유성구 봉명동 537-2,36.356834,127.344548,이탈리아음식
280,14일의 설레임,신월동,서울특별시 양천구 신월동 513-15,37.52159,126.843673,돼지고기구이
281,15,목원대,대전광역시 유성구 원신흥동 575-12,36.333803,127.337946,감자탕
282,1500수제돈까스,마전동,인천광역시 서구 마전동 933-3,37.602845,126.658699,돈가스
283,1500짜장집,전주,전라북도 전주시 완산구 삼천동1가 625-1,35.79698,127.12403,중식당
284,150만세 떡갈비,대신동,대구광역시 중구 대신동 115-378,35.868879,128.58076200000002,
285,153 포인츠부대찌개,명지대,경기도 용인시 처인구 역북동 598-3,37.22920300000001,127.188304,"찌개,전골"
286,153e참치,망월동,경기도 하남시 망월동 1117,37.56155,127.19303,생선회
287,153곱창,장지동,경기도 광주 장지동 686-2,37.393132,127.232908,"곱창,막창,양"
288,153김밥,외동,경상남도 김해시 외동 703-3,35.233846,128.851845,분식
289,153남매카페,,인천광역시,37.440503,126.674174,
290,153냉면,괴안동,경기도 부천시 괴안동 36,37.479366,126.804158,
291,153닭갈비,보정동,경기도 용인시 기흥구 보정동 901-12,37.303418,127.098852,닭갈비
292,153만나,부발읍,경기도 이천시 부발읍 아미리 733-1,37.253258,127.490013,
293,153민보아구찜,삼정동,경상남도 김해시 삼정동 209-6,35.23257299999999,128.894666,
