,name,area,address,latitude,longitude
20730,치킨매니아,능동,경기도 화성시 능동 1131,37.207946,127.05496699999999
20733,치킨매니아,광도면,경상남도 통영시 광도면 죽림리 1567-7,34.885202,128.415878
20737,치킨매니저,산호동,경상남도 창원시 마산합포구 산호동 36-7,35.217664,128.580777
20738,치킨맥스토리,수내본동,경기도 성남시 분당구 수내1동 8-2,37.380297999999996,127.11641399999999
20741,치킨맨,진주,경상남도 진주시 상봉동 811-6,35.1988,128.072
20743,치킨먹고피자먹고,팔탄면,경기도 화성시 팔탄면 노하리 1178-28,37.154792,126.848275
20747,치킨명가,제주도,제주특별자치도 제주시 노형동 2533-11,33.48387,126.473946
20749,치킨명가닭터,대봉동,대구광역시 중구 대봉동 24-34,35.860887,128.602905
20751,치킨명작,녹양동,경기도 의정부시 녹양동 412-7,37.759595000000004,127.04149699999999
20755,치킨명작,덕정동,경기도 양주시 덕정동 365-16,37.84701,127.062133
20757,치킨명작,장암동,경기도 의정부시 장암동 31-3,37.7248,127.056
20758,치킨명작,민락동,경기도 의정부시 민락동 733-7,37.7428,127.087
20759,치킨명작,남촌동,인천광역시 남동구 남촌동 349-3,37.432208,126.71439299999999
20763,치킨밀,동탄,경기도 화성시 능동 1145-3,37.20102,127.053154
20768,치킨박사,대전,대전광역시 동구 대동 403-17,36.332127,127.44487
20776,치킨밥,진접읍,경기도 남양주시 진접읍 장현리 58-13,37.7263,127.193
20779,치킨방앗간,평택,경기도 평택시 용이동 467-4,36.993966,127.13687900000001
20781,치킨방앗간,속초,강원도 속초시 청학동 632-30,38.203964,128.582843
20782,치킨방앗간,길음,서울특별시 성북구 길음동 1286-10,37.604307,127.022446
20792,치킨뱅뱅,평촌학원가,경기도 안양시 동안구 호계동 1072-6,37.381522,126.959902
20793,치킨뱅이,여의도,서울특별시 영등포구 여의도동 36-4,37.520258,126.927123
20798,치킨뱅이,장한평역,서울특별시 동대문구 장안동 464-3,37.56173,127.06593000000001
20805,치킨뱅이,방이동,서울특별시 송파구 방이동 37-2,37.515083000000004,127.10981000000001
20807,치킨뱅이,불광역,서울특별시 은평구 불광동 354-7,37.621140000000004,126.9265
20808,치킨뱅이,계룡,충청남도 계룡시 금암동 162-4,36.273243,127.25193999999999
20810,치킨뱅이,원당,경기도 고양시 덕양구 성사동 722-5,37.653225,126.83783999999999
